nation,fin_year,disease,prev_chd,Unnamed: 4,prev_stroke_tia,Unnamed: 6,prev_af,Unnamed: 8,prev_hf
Scotland,2007/08,af,,,,,,,
Scotland,2008/09,af,0.013242136735408073,,,,,,
Scotland,2009/10,af,0.013727377387806461,,,,,,
Scotland,2010/11,af,0.01422600478251077,,,,,,
Scotland,2011/12,af,0.014918579524020792,,,,,,
Scotland,2012/13,af,0.015261275175272489,,,,,,
Scotland,2013/14,af,0.01593363236261906,,,,,,
Scotland,2014/15,af,0.01644670010851656,,,,,,
Scotland,2015/16,af,0.0171057490200534,,,,,,
Scotland,2016/17,af,0.0177,,,,,,
Scotland,2017/18,af,0.0183,,,,,,
Scotland,2018/19,af,0.019,,,,,,
Scotland,2019/20,af,,,,,,,
Northern Ireland,2004/05,af,,,,,,,
Northern Ireland,2005/06,af,,,,,,,
Northern Ireland,2006/07,af,0.0125237831724272,,,,,,
Northern Ireland,2007/08,af,0.012556110065723101,,,,,,
Northern Ireland,2008/09,af,0.0128653631939491,,,,,,
Northern Ireland,2009/10,af,0.013333683890280699,,,,,,
Northern Ireland,2010/11,af,0.013833486129863898,,,,,,
Northern Ireland,2011/12,af,0.014336976100825098,,,,,,
Northern Ireland,2012/13,af,0.0145390706098135,,,,,,
Northern Ireland,2013/14,af,0.0151159552678904,,,,,,
Northern Ireland,2014/15,af,0.015884615245574198,,,,,,
Northern Ireland,2015/16,af,0.01676056395779132,,,,,,
Northern Ireland,2016/17,af,0.01770534601969546,,,,,,
Northern Ireland,2017/18,af,0.01893963419739336,,,,,,
Northern Ireland,2018/19,af,0.01982205271344686,,,,,,
Northern Ireland,2019/20,af,0.02068,,,,,,
UK,2006/07,af,0.012956525320327518,,,,,,
UK,2007/08,af,0.013096192394512946,,,,,,
UK,2008/09,af,0.013620752584381519,,,,,,
UK,2009/10,af,0.014016466159680266,,,,,,
UK,2010/11,af,0.014445773875980911,,,,,,
UK,2011/12,af,0.015119409024418835,,,,,,
UK,2012/13,af,0.015153362242569928,,,,,,
UK,2013/14,af,0.015414718865468842,,,,,,
UK,2014/15,af,0.016225159185875974,,,,,,
UK,2015/16,af,0.017228350659120355,,,,,,
UK,2016/17,af,0.018416259698295495,,,,,,
UK,2017/18,af,0.019161998750714664,,,,,,
UK,2018/19,af,0.019947340173095403,,,,,,
UK,2019/20,af,0.020514191565422907,,,,,,
England,2004/05,hf,,,,,,,
England,2005/06,hf,,,,,,,
