Nation,Year,Age,Sex,Risk Factors,Prevalence (000s),Prevalence (%)
Northern Ireland,2019/20,19-24,Female,Not meeting physical activity recommendations,30,40.317594696600324
Northern Ireland,2019/20,25-34,Female,Not meeting physical activity recommendations,40,32.49062881661797
Northern Ireland,2019/20,35-44,Female,Not meeting physical activity recommendations,40,33.23594699464053
Northern Ireland,2019/20,45-54,Female,Not meeting physical activity recommendations,60,41.6691617149068
Northern Ireland,2019/20,55-64,Female,Not meeting physical activity recommendations,60,55.063301034877206
Northern Ireland,2019/20,65-74,Female,Not meeting physical activity recommendations,60,65.24507073380049
Northern Ireland,2019/20,75+,Female,Not meeting physical activity recommendations,70,92.23321661345362
Northern Ireland,2019/20,All Adults,Female,Not meeting physical activity recommendations,360,48.62830448705956
Northern Ireland,2019/20,19-24,All,Not meeting physical activity recommendations,50,32.73113531186232
Northern Ireland,2019/20,25-34,All,Not meeting physical activity recommendations,80,33.006821094051716
Northern Ireland,2019/20,35-44,All,Not meeting physical activity recommendations,70,30.02130744668125
Northern Ireland,2019/20,45-54,All,Not meeting physical activity recommendations,100,37.78225456089036
Northern Ireland,2019/20,55-64,All,Not meeting physical activity recommendations,120,53.46930202918268
Northern Ireland,2019/20,65-74,All,Not meeting physical activity recommendations,100,59.46779608285821
Northern Ireland,2019/20,75+,All,Not meeting physical activity recommendations,120,90.3450809289316
Northern Ireland,2019/20,All Adults,All,Not meeting physical activity recommendations,640,44.95199303893557
UK,2019/20,All Adults,Male,Not meeting physical activity recommendations,9400,35
UK,2019/20,All Adults,Female,Not meeting physical activity recommendations,11000,39
UK,2019/20,16-24,All,Not meeting physical activity recommendations,1900,28
UK,2019/20,25-34,All,Not meeting physical activity recommendations,3000,33
UK,2019/20,35-44,All,Not meeting physical activity recommendations,2800,33
UK,2019/20,45-54,All,Not meeting physical activity recommendations,3000,33
UK,2019/20,55-64,All,Not meeting physical activity recommendations,3200,38
UK,2019/20,65-74,All,Not meeting physical activity recommendations,2800,41
UK,2019/20,75+,All,Not meeting physical activity recommendations,3600,62
UK,2019/20,All Adults,All,Not meeting physical activity recommendations,20400,37.705785269808494
England,2019,16-24,Male,Smoking,700,22.76571863719133
England,2019,25-34,Male,Smoking,1100,27.93660720504908
England,2019,35-44,Male,Smoking,730,20.66565588884525
England,2019,45-54,Male,Smoking,750,19.857057800291553
England,2019,55-64,Male,Smoking,490,14.792989871048512
England,2019,65-74,Male,Smoking,250,9.188813317719562
England,2019,75+,Male,Smoking,130,6.303756735122958
England,2019,All Adults,Male,Smoking,4100,18.406669616092973
England,2019,16-24,Female,Smoking,550,18.997128295175607
England,2019,25-34,Female,Smoking,820,21.797232400170056
England,2019,35-44,Female,Smoking,570,15.958400754879436
England,2019,45-54,Female,Smoking,450,11.75061493677792
England,2019,55-64,Female,Smoking,500,14.541978203871322
England,2019,65-74,Female,Smoking,330,11.256223357241247
England,2019,75+,Female,Smoking,150,5.563390591040774
England,2019,All Adults,Female,Smoking,3400,14.648206956951086
England,2019,16-24,All,Smoking,1250,20.889551600797738
England,2019,25-34,All,Smoking,1900,24.80840446231561
England,2019,35-44,All,Smoking,1300,18.286428484596687
England,2019,45-54,All,Smoking,1200,15.74830773194196
England,2019,55-64,All,Smoking,1000,14.665267465130594
England,2019,65-74,All,Smoking,570,10.263418291681615
England,2019,75+,All,Smoking,280,5.891036436457353
England,2019,All Adults,All,Smoking,7500,16.479070623324905
Scotland,2019,16-24,Male,Smoking,40,14
Scotland,2019,25-34,Male,Smoking,90,24
Scotland,2019,35-44,Male,Smoking,80,24
Scotland,2019,45-54,Male,Smoking,90,23
Scotland,2019,55-64,Male,Smoking,70,19
Scotland,2019,65-74,Male,Smoking,30,10
Scotland,2019,75+,Male,Smoking,15.44,8
Scotland,2019,All Adults,Male,Smoking,410,19
Scotland,2019,16-24,Female,Smoking,40,15
Scotland,2019,25-34,Female,Smoking,70,19
Scotland,2019,35-44,Female,Smoking,70,20
Scotland,2019,45-54,Female,Smoking,80,20
Scotland,2019,55-64,Female,Smoking,60,15
Scotland,2019,65-74,Female,Smoking,40,14
Scotland,2019,75+,Female,Smoking,20,7
Scotland,2019,All Adults,Female,Smoking,379.51,16
Scotland,2019,16-24,All,Smoking,80,14
Scotland,2019,25-34,All,Smoking,160,22
Scotland,2019,35-44,All,Smoking,150,22
Scotland,2019,45-54,All,Smoking,160,21
Scotland,2019,55-64,All,Smoking,130,17
Scotland,2019,65-74,All,Smoking,70,12
Scotland,2019,75+,All,Smoking,34.550000000000004,7
Scotland,2019,All Adults,All,Smoking,785.1399999999999,17
Wales,2019/20,16-24,Male,Smoking,43,24
Wales,2019/20,25-34,Male,Smoking,40.6,20
Wales,2019/20,35-44,Male,Smoking,42,24
Wales,2019/20,45-54,Male,Smoking,42.839999999999996,21
Wales,2019/20,55-64,Male,Smoking,36,18
Wales,2019/20,65-74,Male,Smoking,22.75,13
Wales,2019/20,75+,Male,Smoking,7.8,6
Wales,2019/20,All Adults,Male,Smoking,230,18
Wales,2019/20,16-24,Female,Smoking,26.080000000000002,16
Wales,2019/20,25-34,Female,Smoking,47.519999999999996,24
Wales,2019/20,35-44,Female,Smoking,32.22,18
Wales,2019/20,45-54,Female,Smoking,43,20
Wales,2019/20,55-64,Female,Smoking,31.65,15
Wales,2019/20,65-74,Female,Smoking,24.18,13
Wales,2019/20,75+,Female,Smoking,13.68,8
Wales,2019/20,All Adults,Female,Smoking,220,17
Wales,2019/20,16-24,All,Smoking,70,20
Wales,2019/20,25-34,All,Smoking,90,22
Wales,2019/20,35-44,All,Smoking,70,21
Wales,2019/20,45-54,All,Smoking,90,20
Wales,2019/20,55-64,All,Smoking,70,17
Wales,2019/20,65-74,All,Smoking,50,13
Wales,2019/20,75+,All,Smoking,20,7
Wales,2019/20,All Adults,All,Smoking,450,18
Northern Ireland,2019/20,16-24,Male,Smoking,16.96,16
Northern Ireland,2019/20,25-34,Male,Smoking,28.52,23
Northern Ireland,2019/20,35-44,Male,Smoking,23.400000000000002,20
Northern Ireland,2019/20,45-54,Male,Smoking,27.72,22
Northern Ireland,2019/20,55-64,Male,Smoking,21.47,19
Northern Ireland,2019/20,65-74,Male,Smoking,9.959999999999999,12
Northern Ireland,2019/20,75+,Male,Smoking,7.199999999999999,12
Northern Ireland,2019/20,All Adults,Male,Smoking,140,18
Northern Ireland,2019/20,16-24,Female,Smoking,16.830000000000002,17
Northern Ireland,2019/20,25-34,Female,Smoking,26.25,21
Northern Ireland,2019/20,35-44,Female,Smoking,22.32,18
Northern Ireland,2019/20,45-54,Female,Smoking,22.44,17
Northern Ireland,2019/20,55-64,Female,Smoking,21.06,18
Northern Ireland,2019/20,65-74,Female,Smoking,11.440000000000001,13
Northern Ireland,2019/20,75+,Female,Smoking,5.8100000000000005,7.000000000000001
Northern Ireland,2019/20,All Adults,Female,Smoking,130,16
Northern Ireland,2019/20,16-24,All,Smoking,30,17
Northern Ireland,2019/20,25-34,All,Smoking,60,22
Northern Ireland,2019/20,35-44,All,Smoking,50,19
Northern Ireland,2019/20,45-54,All,Smoking,50,19
Northern Ireland,2019/20,55-64,All,Smoking,40,18
Northern Ireland,2019/20,65-74,All,Smoking,21,13
Northern Ireland,2019/20,75+,All,Smoking,13,9
Northern Ireland,2019/20,All Adults,All,Smoking,265,17
UK,2019/20,16-24,Male,Smoking,800,22
UK,2019/20,25-34,Male,Smoking,1250,27
UK,2019/20,35-44,Male,Smoking,880,21
UK,2019/20,45-54,Male,Smoking,910,20
UK,2019/20,55-64,Male,Smoking,620,16
UK,2019/20,65-74,Male,Smoking,310,9
UK,2019/20,75+,Male,Smoking,160,6
UK,2019/20,All Adults,Male,Smoking,4900,18
UK,2019/20,16-24,Female,Smoking,630,19
UK,2019/20,25-34,Female,Smoking,960,22
UK,2019/20,35-44,Female,Smoking,700,17
UK,2019/20,45-54,Female,Smoking,600,17
UK,2019/20,55-64,Female,Smoking,610,15
UK,2019/20,65-74,Female,Smoking,410,10
UK,2019/20,75+,Female,Smoking,190,6
UK,2019/20,All Adults,Female,Smoking,4100,15
UK,2019/20,16-24,All,Smoking,1400,20
UK,2019/20,25-34,All,Smoking,2200,25
UK,2019/20,35-44,All,Smoking,1600,19
UK,2019/20,45-54,All,Smoking,1500,17
UK,2019/20,55-64,All,Smoking,1200,15
UK,2019/20,65-74,All,Smoking,700,10
UK,2019/20,75+,All,Smoking,350,6
UK,2019/20,All Adults,All,Smoking,9000.14,16
England,2019,16-24,Male,Exceeding weekly alcohol consumption,,19.449925669465685
England,2019,25-34,Male,Exceeding weekly alcohol consumption,,27.08656347838414
England,2019,35-44,Male,Exceeding weekly alcohol consumption,,25.201875409204355
England,2019,45-54,Male,Exceeding weekly alcohol consumption,,34.70202092793359
England,2019,55-64,Male,Exceeding weekly alcohol consumption,,39.40761546117814
England,2019,65-74,Male,Exceeding weekly alcohol consumption,,38.92988717150784
England,2019,75+,Male,Exceeding weekly alcohol consumption,,24.956137470600783
England,2019,All Adults,Male,Exceeding weekly alcohol consumption,,30.320812162005353
England,2019,16-24,Female,Exceeding weekly alcohol consumption,,10.677568061979139
England,2019,25-34,Female,Exceeding weekly alcohol consumption,,14.56526524773374
England,2019,35-44,Female,Exceeding weekly alcohol consumption,,14.741197577066014
England,2019,45-54,Female,Exceeding weekly alcohol consumption,,18.51037814121915
England,2019,55-64,Female,Exceeding weekly alcohol consumption,,19.887112246740628
England,2019,65-74,Female,Exceeding weekly alcohol consumption,,17.408839935135354
England,2019,75+,Female,Exceeding weekly alcohol consumption,,9.831982583144578
England,2019,All Adults,Female,Exceeding weekly alcohol consumption,,15.480538733605497
England,2019,16-24,All,Exceeding weekly alcohol consumption,,15.141384816897762
England,2019,25-34,All,Exceeding weekly alcohol consumption,,20.730174732418455
England,2019,35-44,All,Exceeding weekly alcohol consumption,,19.91560875739648
England,2019,45-54,All,Exceeding weekly alcohol consumption,,26.494504892751266
England,2019,55-64,All,Exceeding weekly alcohol consumption,,29.500308283370885
England,2019,65-74,All,Exceeding weekly alcohol consumption,,27.704446993417243
England,2019,75+,All,Exceeding weekly alcohol consumption,,16.539287480032634
England,2019,All Adults,All,Exceeding weekly alcohol consumption,,22.72535185141757
Scotland,2019,16-24,Male,Exceeding weekly alcohol consumption,,28
Scotland,2019,25-34,Male,Exceeding weekly alcohol consumption,,27
Scotland,2019,35-44,Male,Exceeding weekly alcohol consumption,,31
Scotland,2019,45-54,Male,Exceeding weekly alcohol consumption,,30
Scotland,2019,55-64,Male,Exceeding weekly alcohol consumption,,39
Scotland,2019,65-74,Male,Exceeding weekly alcohol consumption,,37
Scotland,2019,75+,Male,Exceeding weekly alcohol consumption,,26
Scotland,2019,All Adults,Male,Exceeding weekly alcohol consumption,,32
Scotland,2019,16-24,Female,Exceeding weekly alcohol consumption,,13
Scotland,2019,25-34,Female,Exceeding weekly alcohol consumption,,16
Scotland,2019,35-44,Female,Exceeding weekly alcohol consumption,,17
Scotland,2019,45-54,Female,Exceeding weekly alcohol consumption,,24
Scotland,2019,55-64,Female,Exceeding weekly alcohol consumption,,18
Scotland,2019,65-74,Female,Exceeding weekly alcohol consumption,,16
Scotland,2019,75+,Female,Exceeding weekly alcohol consumption,,6
Scotland,2019,All Adults,Female,Exceeding weekly alcohol consumption,,16
Scotland,2019,16-24,All,Exceeding weekly alcohol consumption,,20
Scotland,2019,25-34,All,Exceeding weekly alcohol consumption,,21
Scotland,2019,35-44,All,Exceeding weekly alcohol consumption,,24
Scotland,2019,45-54,All,Exceeding weekly alcohol consumption,,27
Scotland,2019,55-64,All,Exceeding weekly alcohol consumption,,28
Scotland,2019,65-74,All,Exceeding weekly alcohol consumption,,26
Scotland,2019,75+,All,Exceeding weekly alcohol consumption,,14
Scotland,2019,All Adults,All,Exceeding weekly alcohol consumption,,24
Wales,2019/20,16-24,Male,Exceeding weekly alcohol consumption,,18
Wales,2019/20,25-34,Male,Exceeding weekly alcohol consumption,,14
Wales,2019/20,35-44,Male,Exceeding weekly alcohol consumption,,24
Wales,2019/20,45-54,Male,Exceeding weekly alcohol consumption,,34
Wales,2019/20,55-64,Male,Exceeding weekly alcohol consumption,,28
Wales,2019/20,65-74,Male,Exceeding weekly alcohol consumption,,30
Wales,2019/20,75+,Male,Exceeding weekly alcohol consumption,,20
Wales,2019/20,All Adults,Male,Exceeding weekly alcohol consumption,,25
Wales,2019/20,16-24,Female,Exceeding weekly alcohol consumption,,12
Wales,2019/20,25-34,Female,Exceeding weekly alcohol consumption,,10
Wales,2019/20,35-44,Female,Exceeding weekly alcohol consumption,,15
Wales,2019/20,45-54,Female,Exceeding weekly alcohol consumption,,22
Wales,2019/20,55-64,Female,Exceeding weekly alcohol consumption,,13
Wales,2019/20,65-74,Female,Exceeding weekly alcohol consumption,,13
Wales,2019/20,75+,Female,Exceeding weekly alcohol consumption,,6
Wales,2019/20,All Adults,Female,Exceeding weekly alcohol consumption,,14
Wales,2019/20,16-24,All,Exceeding weekly alcohol consumption,,15
Wales,2019/20,25-34,All,Exceeding weekly alcohol consumption,,12
Wales,2019/20,35-44,All,Exceeding weekly alcohol consumption,,20
Wales,2019/20,45-54,All,Exceeding weekly alcohol consumption,,28
Wales,2019/20,55-64,All,Exceeding weekly alcohol consumption,,21
Wales,2019/20,65-74,All,Exceeding weekly alcohol consumption,,21
Wales,2019/20,75+,All,Exceeding weekly alcohol consumption,,12
Wales,2019/20,All Adults,All,Exceeding weekly alcohol consumption,,19
Northern Ireland,2019/20,All Adults,Male,Exceeding weekly alcohol consumption,,26
Northern Ireland,2019/20,All Adults,Female,Exceeding weekly alcohol consumption,,9
Northern Ireland,2019/20,18-24,All,Exceeding weekly alcohol consumption,,18
Northern Ireland,2019/20,25-34,All,Exceeding weekly alcohol consumption,,16
Northern Ireland,2019/20,35-44,All,Exceeding weekly alcohol consumption,,15
Northern Ireland,2019/20,45-54,All,Exceeding weekly alcohol consumption,,21
Northern Ireland,2019/20,55-64,All,Exceeding weekly alcohol consumption,,22
Northern Ireland,2019/20,65-74,All,Exceeding weekly alcohol consumption,,15
Northern Ireland,2019/20,75+,All,Exceeding weekly alcohol consumption,,8
Northern Ireland,2019/20,All Adults,All,Exceeding weekly alcohol consumption,,17.05888412418889
UK,2019/20,16-24,Male,Exceeding weekly alcohol consumption,,20
UK,2019/20,25-34,Male,Exceeding weekly alcohol consumption,,26
UK,2019/20,35-44,Male,Exceeding weekly alcohol consumption,,25
UK,2019/20,45-54,Male,Exceeding weekly alcohol consumption,,35
UK,2019/20,55-64,Male,Exceeding weekly alcohol consumption,,39
UK,2019/20,65-74,Male,Exceeding weekly alcohol consumption,,38
UK,2019/20,75+,Male,Exceeding weekly alcohol consumption,,25
UK,2019/20,All Adults,Male,Exceeding weekly alcohol consumption,,30
UK,2019/20,16-24,Female,Exceeding weekly alcohol consumption,,11
UK,2019/20,25-34,Female,Exceeding weekly alcohol consumption,,15
UK,2019/20,35-44,Female,Exceeding weekly alcohol consumption,,15
UK,2019/20,45-54,Female,Exceeding weekly alcohol consumption,,19
UK,2019/20,55-64,Female,Exceeding weekly alcohol consumption,,20
UK,2019/20,65-74,Female,Exceeding weekly alcohol consumption,,17
UK,2019/20,75+,Female,Exceeding weekly alcohol consumption,,9
UK,2019/20,All Adults,Female,Exceeding weekly alcohol consumption,,15
UK,2019/20,16-24,All,Exceeding weekly alcohol consumption,,16
UK,2019/20,25-34,All,Exceeding weekly alcohol consumption,,20
UK,2019/20,35-44,All,Exceeding weekly alcohol consumption,,20
UK,2019/20,45-54,All,Exceeding weekly alcohol consumption,,27
UK,2019/20,55-64,All,Exceeding weekly alcohol consumption,,29
UK,2019/20,65-74,All,Exceeding weekly alcohol consumption,,27
UK,2019/20,75+,All,Exceeding weekly alcohol consumption,,17
UK,2019/20,All Adults,All,Exceeding weekly alcohol consumption,,23
England,2018,16-24,Male,Not meeting 5-a-day fruit and vegetable recommendations,,81.94130485113624
England,2018,25-34,Male,Not meeting 5-a-day fruit and vegetable recommendations,,77.14839778381707
England,2018,35-44,Male,Not meeting 5-a-day fruit and vegetable recommendations,,72.16191045861679
England,2018,45-54,Male,Not meeting 5-a-day fruit and vegetable recommendations,,74.82319683008181
England,2018,55-64,Male,Not meeting 5-a-day fruit and vegetable recommendations,,72.2694195798757
England,2018,65-74,Male,Not meeting 5-a-day fruit and vegetable recommendations,,73.34631280698355
England,2018,75+,Male,Not meeting 5-a-day fruit and vegetable recommendations,,74.24908221314554
England,2018,All Adults,Male,Not meeting 5-a-day fruit and vegetable recommendations,,75.16349483802821
England,2018,16-24,Female,Not meeting 5-a-day fruit and vegetable recommendations,,74.25239661276228
England,2018,25-34,Female,Not meeting 5-a-day fruit and vegetable recommendations,,70.93906393371961
England,2018,35-44,Female,Not meeting 5-a-day fruit and vegetable recommendations,,63.25014840527693
England,2018,45-54,Female,Not meeting 5-a-day fruit and vegetable recommendations,,70.83732674207194
England,2018,55-64,Female,Not meeting 5-a-day fruit and vegetable recommendations,,67.23317881800142
England,2018,65-74,Female,Not meeting 5-a-day fruit and vegetable recommendations,,70.38729303115475
England,2018,75+,Female,Not meeting 5-a-day fruit and vegetable recommendations,,74.7567056577847
England,2018,All Adults,Female,Not meeting 5-a-day fruit and vegetable recommendations,,69.92265246060148
England,2018,16-24,All,Not meeting 5-a-day fruit and vegetable recommendations,,78.19934667996685
England,2018,25-34,All,Not meeting 5-a-day fruit and vegetable recommendations,,74.00813199863218
England,2018,35-44,All,Not meeting 5-a-day fruit and vegetable recommendations,,67.68878549649489
England,2018,45-54,All,Not meeting 5-a-day fruit and vegetable recommendations,,72.80764537925359
England,2018,55-64,All,Not meeting 5-a-day fruit and vegetable recommendations,,69.70693315384352
England,2018,65-74,All,Not meeting 5-a-day fruit and vegetable recommendations,,71.81128605651095
England,2018,75+,All,Not meeting 5-a-day fruit and vegetable recommendations,,74.53355349337784
England,2018,All Adults,All,Not meeting 5-a-day fruit and vegetable recommendations,,72.49098389886768
Scotland,2019,16-24,Male,Not meeting 5-a-day fruit and vegetable recommendations,,78
Scotland,2019,25-34,Male,Not meeting 5-a-day fruit and vegetable recommendations,,76
Scotland,2019,35-44,Male,Not meeting 5-a-day fruit and vegetable recommendations,,81
Scotland,2019,45-54,Male,Not meeting 5-a-day fruit and vegetable recommendations,,75
Scotland,2019,55-64,Male,Not meeting 5-a-day fruit and vegetable recommendations,,81
Scotland,2019,65-74,Male,Not meeting 5-a-day fruit and vegetable recommendations,,81
Scotland,2019,75+,Male,Not meeting 5-a-day fruit and vegetable recommendations,,77
Scotland,2019,All Adults,Male,Not meeting 5-a-day fruit and vegetable recommendations,,79
Scotland,2019,16-24,Female,Not meeting 5-a-day fruit and vegetable recommendations,,84
Scotland,2019,25-34,Female,Not meeting 5-a-day fruit and vegetable recommendations,,78
Scotland,2019,35-44,Female,Not meeting 5-a-day fruit and vegetable recommendations,,75
Scotland,2019,45-54,Female,Not meeting 5-a-day fruit and vegetable recommendations,,74
Scotland,2019,55-64,Female,Not meeting 5-a-day fruit and vegetable recommendations,,73
Scotland,2019,65-74,Female,Not meeting 5-a-day fruit and vegetable recommendations,,81
Scotland,2019,75+,Female,Not meeting 5-a-day fruit and vegetable recommendations,,79
Scotland,2019,All Adults,Female,Not meeting 5-a-day fruit and vegetable recommendations,,77
Scotland,2019,16-24,All,Not meeting 5-a-day fruit and vegetable recommendations,,81
Scotland,2019,25-34,All,Not meeting 5-a-day fruit and vegetable recommendations,,77
Scotland,2019,35-44,All,Not meeting 5-a-day fruit and vegetable recommendations,,78
Scotland,2019,45-54,All,Not meeting 5-a-day fruit and vegetable recommendations,,75
Scotland,2019,55-64,All,Not meeting 5-a-day fruit and vegetable recommendations,,77
Scotland,2019,65-74,All,Not meeting 5-a-day fruit and vegetable recommendations,,81
Scotland,2019,75+,All,Not meeting 5-a-day fruit and vegetable recommendations,,78
Scotland,2019,All Adults,All,Not meeting 5-a-day fruit and vegetable recommendations,,78
Wales,2019/20,16-24,Male,Not meeting 5-a-day fruit and vegetable recommendations,,79
Wales,2019/20,25-34,Male,Not meeting 5-a-day fruit and vegetable recommendations,,76
Wales,2019/20,35-44,Male,Not meeting 5-a-day fruit and vegetable recommendations,,77
Wales,2019/20,45-54,Male,Not meeting 5-a-day fruit and vegetable recommendations,,76
Wales,2019/20,55-64,Male,Not meeting 5-a-day fruit and vegetable recommendations,,80
Wales,2019/20,65-74,Male,Not meeting 5-a-day fruit and vegetable recommendations,,76
Wales,2019/20,75+,Male,Not meeting 5-a-day fruit and vegetable recommendations,,78
Wales,2019/20,All Adults,Male,Not meeting 5-a-day fruit and vegetable recommendations,,77
Wales,2019/20,16-24,Female,Not meeting 5-a-day fruit and vegetable recommendations,,75
Wales,2019/20,25-34,Female,Not meeting 5-a-day fruit and vegetable recommendations,,72
Wales,2019/20,35-44,Female,Not meeting 5-a-day fruit and vegetable recommendations,,69
Wales,2019/20,45-54,Female,Not meeting 5-a-day fruit and vegetable recommendations,,73
Wales,2019/20,55-64,Female,Not meeting 5-a-day fruit and vegetable recommendations,,73
Wales,2019/20,65-74,Female,Not meeting 5-a-day fruit and vegetable recommendations,,74
Wales,2019/20,75+,Female,Not meeting 5-a-day fruit and vegetable recommendations,,78
Wales,2019/20,All Adults,Female,Not meeting 5-a-day fruit and vegetable recommendations,,73
Wales,2019/20,16-24,All,Not meeting 5-a-day fruit and vegetable recommendations,,77
Wales,2019/20,25-34,All,Not meeting 5-a-day fruit and vegetable recommendations,,74
Wales,2019/20,35-44,All,Not meeting 5-a-day fruit and vegetable recommendations,,73
Wales,2019/20,45-54,All,Not meeting 5-a-day fruit and vegetable recommendations,,74
Wales,2019/20,55-64,All,Not meeting 5-a-day fruit and vegetable recommendations,,76
Wales,2019/20,65-74,All,Not meeting 5-a-day fruit and vegetable recommendations,,75
Wales,2019/20,75+,All,Not meeting 5-a-day fruit and vegetable recommendations,,78
Wales,2019/20,All Adults,All,Not meeting 5-a-day fruit and vegetable recommendations,,75
Northern Ireland,2019/20,16-24,Male,Not meeting 5-a-day fruit and vegetable recommendations,,65.68079697957236
Northern Ireland,2019/20,25-34,Male,Not meeting 5-a-day fruit and vegetable recommendations,,61.989330611144275
Northern Ireland,2019/20,35-44,Male,Not meeting 5-a-day fruit and vegetable recommendations,,62.53057682883385
Northern Ireland,2019/20,45-54,Male,Not meeting 5-a-day fruit and vegetable recommendations,,61.90413977652334
Northern Ireland,2019/20,55-64,Male,Not meeting 5-a-day fruit and vegetable recommendations,,61.601229602809894
Northern Ireland,2019/20,65-74,Male,Not meeting 5-a-day fruit and vegetable recommendations,,56.46424053623951
Northern Ireland,2019/20,75+,Male,Not meeting 5-a-day fruit and vegetable recommendations,,61.85594419196676
Northern Ireland,2019/20,All Adults,Male,Not meeting 5-a-day fruit and vegetable recommendations,,61.89890349461987
Northern Ireland,2019/20,16-24,Female,Not meeting 5-a-day fruit and vegetable recommendations,,55.62501531977777
Northern Ireland,2019/20,25-34,Female,Not meeting 5-a-day fruit and vegetable recommendations,,54.99781509655488
Northern Ireland,2019/20,35-44,Female,Not meeting 5-a-day fruit and vegetable recommendations,,48.435493932482906
Northern Ireland,2019/20,45-54,Female,Not meeting 5-a-day fruit and vegetable recommendations,,47.310335178409325
Northern Ireland,2019/20,55-64,Female,Not meeting 5-a-day fruit and vegetable recommendations,,43.11232674390185
Northern Ireland,2019/20,65-74,Female,Not meeting 5-a-day fruit and vegetable recommendations,,46.37516914034664
Northern Ireland,2019/20,75+,Female,Not meeting 5-a-day fruit and vegetable recommendations,,57.25767385311522
Northern Ireland,2019/20,All Adults,Female,Not meeting 5-a-day fruit and vegetable recommendations,,50.11664369016291
Northern Ireland,2019/20,16-24,All,Not meeting 5-a-day fruit and vegetable recommendations,,60.85673504932976
Northern Ireland,2019/20,25-34,All,Not meeting 5-a-day fruit and vegetable recommendations,,58.49180603333479
Northern Ireland,2019/20,35-44,All,Not meeting 5-a-day fruit and vegetable recommendations,,55.25293433479137
Northern Ireland,2019/20,45-54,All,Not meeting 5-a-day fruit and vegetable recommendations,,54.3813539904684
Northern Ireland,2019/20,55-64,All,Not meeting 5-a-day fruit and vegetable recommendations,,52.25512433262545
Northern Ireland,2019/20,65-74,All,Not meeting 5-a-day fruit and vegetable recommendations,,51.21333748865622
Northern Ireland,2019/20,75+,All,Not meeting 5-a-day fruit and vegetable recommendations,,59.22304920074932
Northern Ireland,2019/20,All Adults,All,Not meeting 5-a-day fruit and vegetable recommendations,,55.85764734019266
UK,2019/20,16-24,Male,Not meeting 5-a-day fruit and vegetable recommendations,,81
UK,2019/20,25-34,Male,Not meeting 5-a-day fruit and vegetable recommendations,,77
UK,2019/20,35-44,Male,Not meeting 5-a-day fruit and vegetable recommendations,,72
UK,2019/20,45-54,Male,Not meeting 5-a-day fruit and vegetable recommendations,,75
UK,2019/20,55-64,Male,Not meeting 5-a-day fruit and vegetable recommendations,,72
UK,2019/20,65-74,Male,Not meeting 5-a-day fruit and vegetable recommendations,,73
UK,2019/20,75+,Male,Not meeting 5-a-day fruit and vegetable recommendations,,74
UK,2019/20,All Adults,Male,Not meeting 5-a-day fruit and vegetable recommendations,,75
UK,2019/20,16-24,Female,Not meeting 5-a-day fruit and vegetable recommendations,,74
UK,2019/20,25-34,Female,Not meeting 5-a-day fruit and vegetable recommendations,,71
UK,2019/20,35-44,Female,Not meeting 5-a-day fruit and vegetable recommendations,,63
UK,2019/20,45-54,Female,Not meeting 5-a-day fruit and vegetable recommendations,,71
UK,2019/20,55-64,Female,Not meeting 5-a-day fruit and vegetable recommendations,,67
UK,2019/20,65-74,Female,Not meeting 5-a-day fruit and vegetable recommendations,,70
UK,2019/20,75+,Female,Not meeting 5-a-day fruit and vegetable recommendations,,75
UK,2019/20,All Adults,Female,Not meeting 5-a-day fruit and vegetable recommendations,,70
UK,2019/20,16-24,All,Not meeting 5-a-day fruit and vegetable recommendations,,78
UK,2019/20,25-34,All,Not meeting 5-a-day fruit and vegetable recommendations,,74
UK,2019/20,35-44,All,Not meeting 5-a-day fruit and vegetable recommendations,,68
UK,2019/20,45-54,All,Not meeting 5-a-day fruit and vegetable recommendations,,73
UK,2019/20,55-64,All,Not meeting 5-a-day fruit and vegetable recommendations,,70
UK,2019/20,65-74,All,Not meeting 5-a-day fruit and vegetable recommendations,,72
UK,2019/20,75+,All,Not meeting 5-a-day fruit and vegetable recommendations,,75
UK,2019/20,All Adults,All,Not meeting 5-a-day fruit and vegetable recommendations,,72
