Nation,Year,Age,Sex,Risk Factors,Prevalence (000s),Prevalence (%)
Scotland,2018/19,16-24,All,High blood pressure,5.84,7
Scotland,2018/19,25-34,All,High blood pressure,50,5
Scotland,2018/19,35-44,All,High blood pressure,70,12
Scotland,2018/19,45-54,All,High blood pressure,190,29
Scotland,2018/19,55-64,All,High blood pressure,340,45
Scotland,2018/19,65-74,All,High blood pressure,350,59
Scotland,2018/19,75+,All,High blood pressure,330,70
Scotland,2018/19,All Adults,All,High blood pressure,1330,31
England,2019,16-24,Male,Untreated high blood pressure,x,x
England,2019,25-34,Male,Untreated high blood pressure,240,6.346342740520783
England,2019,35-44,Male,Untreated high blood pressure,360,10.04571630194163
England,2019,45-54,Male,Untreated high blood pressure,680,18.164178415553977
England,2019,55-64,Male,Untreated high blood pressure,720,21.522351114157782
England,2019,65-74,Male,Untreated high blood pressure,540,20.250104751687665
England,2019,75+,Male,Untreated high blood pressure,290,14.328917985465196
England,2019,All Adults,Male,Untreated high blood pressure,2830,13.955111990229728
England,2019,16-24,Female,Untreated high blood pressure,30,1.1104302862071014
England,2019,25-34,Female,Untreated high blood pressure,180,4.793635118117027
England,2019,35-44,Female,Untreated high blood pressure,230,6.407654050462657
England,2019,45-54,Female,Untreated high blood pressure,480,12.423617620456136
England,2019,55-64,Female,Untreated high blood pressure,460,13.239861912622885
England,2019,65-74,Female,Untreated high blood pressure,560,19.247942259170763
England,2019,75+,Female,Untreated high blood pressure,530,19.293737884307404
England,2019,All Adults,Female,Untreated high blood pressure,2460,10.75407898660698
England,2019,16-24,All,Untreated high blood pressure,x,2.3731028025269736
England,2019,25-34,All,Untreated high blood pressure,420,6.212591608738436
England,2019,35-44,All,Untreated high blood pressure,590,10.381855082491171
England,2019,45-54,All,Untreated high blood pressure,1160,11.051806908407606
England,2019,55-64,All,Untreated high blood pressure,1170,18.32617821503004
England,2019,65-74,All,Untreated high blood pressure,1100,18.028787213645842
England,2019,75+,All,Untreated high blood pressure,820,16.110392977928978
England,2019,All Adults,All,Untreated high blood pressure,5300.244917159515,11.617694555888981
Scotland,2018/19,16-24,Male,Untreated high blood pressure,5.84,2
Scotland,2018/19,25-34,Male,Untreated high blood pressure,29.92,8
Scotland,2018/19,35-44,Male,Untreated high blood pressure,30,8
Scotland,2018/19,45-54,Male,Untreated high blood pressure,80,22
Scotland,2018/19,55-64,Male,Untreated high blood pressure,130,35
Scotland,2018/19,65-74,Male,Untreated high blood pressure,60,23
Scotland,2018/19,75+,Male,Untreated high blood pressure,50,24
Scotland,2018/19,All Adults,Male,Untreated high blood pressure,380,18
Scotland,2018/19,16-24,Female,Untreated high blood pressure,x,x
Scotland,2018/19,25-34,Female,Untreated high blood pressure,15.120000000000001,4
Scotland,2018/19,35-44,Female,Untreated high blood pressure,30,10
Scotland,2018/19,45-54,Female,Untreated high blood pressure,60,15
Scotland,2018/19,55-64,Female,Untreated high blood pressure,90,23
Scotland,2018/19,65-74,Female,Untreated high blood pressure,80,27
Scotland,2018/19,75+,Female,Untreated high blood pressure,100,35
Scotland,2018/19,All Adults,Female,Untreated high blood pressure,370,16
Scotland,2018/19,16-24,All,Untreated high blood pressure,5.84,1
Scotland,2018/19,25-34,All,Untreated high blood pressure,50,6
Scotland,2018/19,35-44,All,Untreated high blood pressure,60,9
